Tareas,Descripcion,Duracion,Id
practicar udesa,tarea udesa,,clndqvhye0000l408n495bxge
Lujan,jfjfjf,,clnenxe9t0007js08ql4uhhqp
Tomi,tareas de tomi,,clnet434a0000ms09gharqip9
Estudiar lingüística ,final,,clnfgsz3c0003ie08vsrgp0sc
TP Embebidos,,,clng2ig9o0003v6tciibdkgfu
Prueba kali linux,"Natas 8
Bandit 12
Ataque de fuerza bruta a servidor ftp
Clonar pagina web
Encontrar la ip de servidor a partir de servicios
Encontrar credenciales a partir de winshare",,clng2itoe0004v6tcusenvvyj
Presentacion historia familiar,,,clng35u0h000hv6tc0loi085q
Modelo Knesset,,,clni3hdzl0000js081i79xbwv
Presentacion cultura,,,clnk8mk1z0000l008mc9lnc71
TP Embebidos,,,clnkmkzse0000l908kzglhwil
Monografía,,,clnkmld2l0000mh08gmg8x2b9
Writings emma,,,clnm3xk1g0000lc088um36otg
Prueba peruga,,,clnm3z1qk0002lc08s3nhr7q1
hdhd,,,clnuosgf60001ph0gag3kkxry
Prueba Matematica,,,clnvymv960000ov0fkrbs5x0x
Presentacion abumafia,,,clnx3a2050000ms0f53zlaf3m
Presentacion ranzo,,,clnx4nt0m0000oj0frtbq5cwa
parry pollo,,,clnx63jan0000nv0f0kh84uc8
Tp lu,,,clnyv5l9z0000l008zydm94sz
Ndjdd,,,clnyvkoyo0000mk08wbqsvx1w
Jdjd,,,clnyvkubp0001mk08c2e7a58u
Jdjdd,,,clnyvkx0t0002mk088rmq9br5
Djdjdn,,,clnyvl1300001l00867eziww6
ensayo udesa,,,clo0d7pg90000me0844fb75es
Prueba Robert ,,,clo4q67fm0001la08f54tmyll
estudiar ,,,clo4qlgkf0006mj08v36ijy3r
matematica,,,clo4qmvfs000ala08m5e8xbjz
Asearme,,,clo4qsnyx0001mh08d5ozlcrd
Vestirme,,,clo4qsnyy0003mh08zlzaihu3
Preparar el desayuno,,,clo4qso080005mh08dnrwh8ok
Salir de casa,,,clo4qso0s0007mh08lroye0b4
Agarrar las cosas del colegio,,,clo4qso0v0009mh08mfyesxgk
tarea udesa,complejos ejercicio,,clo4wtnhd0000l608trxnx1qz
jugar a lo jueguito,si,,clo5pa3if0001ms08x9yryiio
no,,11150,clo5pb6vk0002ld08ps24wxei
Manejo Virtual,,,clo6544gw0000l008z4e1hfw5
limpieza,limpiar el baño,,clo7uk6ql0000lj08o1ep54zx
MVP Experience,,,cloeipg2y0000l408xc8edtza
no comprarle un mantecol a eva,,,clofpverz0000l4083vj9sl7m
tp alcoholemia shulian,,,clofvl7jl0000mf08qetydepx
TP integrales,,,clofz0m2k0000l308f2zzlyj3
recuperatorio matematica optimizacion,,,clofz8kk00001l308yvcl8smk
tarea matematica,,,clog10tno0000lm08nij3qqjc
presentacion abulafia,,,clog11agu0001lm088q38mv8x
Trabajo emma,,,clog476fy0000h2085rowl2cz
weaf,,5,cloh8txsv0002g1pkst4e1a64
Agarrar la pala,,2,cloh8vjfk0005g1pkixqk8kne
cocinarle el almuerzo a mi novia,,,cloh92yjr0007g1pkctiqtjmw
Cheatsheet webpush,,,cloh9bcct000bg1pkjcn9z5kf
Agarrar la pala,,1500,clohkxrp10002l808ixp7r8sc
ewfa,,,cloiju0ob0001mp083clc2ijc
Ty,,,cloiju0oe0003mp08t27w3dr9
wefs,,,cloiju0ol0005mp08povzzzl7
Correr,,10,cloiju0p90007mp08jqb40ncb
Terminar cuento lengua,,,cloikicxc0000jr08zjq7rho6
Defensa oral monografia,,,cloinomiv0000lf08cqaw1rq6
Writing en clase,,,cloinozqj0001lf08nxd12o4a
Tp lu publicidad,,,cloiv3pi70000l808wm64x2ci
lavar los platos,,600,clon6gzdf0002mo087jo4prza
cumple sabri Lewin la amiga de lu,sabri es la mejor del mundo ,,cloobf9oi0000l408o6vas6ik
