Tareas,Duracion,Area,Id
Realizar una actividad de estiramiento,10 minutos,Salud y Bienestar,68
Organizar y limpiar la cocina,Variable,Tareas del hogar,69
Escuchar un podcast o audiolibro,Variable,Entretenimiento,70
Hacer una videollamada con un amigo,Variable,Relaciones Sociales,71
Practicar técnicas de mindfulness,10 minutos,Bienestar Mental,72
Realizar una actividad al aire libre,Variable,Recreación,73
Revisar y actualizar metas y objetivos,10 minutos,Autodesarrollo,74
Ordenar y organizar archivos digitales,Variable,Organización,75
Realizar una actividad de relajación,Variable,Bienestar Mental,76
Realizar ejercicio físico,30 minutos,Salud y Fitness,77
Preparar la cena,Variable,Alimentación,78
Leer un libro o revista,Variable,Entretenimiento,79
Hacer una llamada telefónica,Variable,Comunicación,80
Trabajar en un proyecto personal,Variable,Productividad,81
Organizar y limpiar el hogar,Variable,Tareas del hogar,82
Practicar técnicas de relajación,10 minutos,Bienestar Mental,83
Escuchar música o un podcast,Variable,Entretenimiento,84
Realizar actividades recreativas,Variable,Recreación,85
Revisar y responder correos electrónicos,Variable,Comunicación,86
Practicar hobbies o manualidades,Variable,Arte y Creatividad,87
Organizar y planificar el día siguiente,10 minutos,Organización,88
Realizar trabajo intelectual o creativo,Variable,Productividad,89
Hacer una pausa para descansar,Variable,Descanso,90
Mantener una conversación social,Variable,Relaciones Sociales,91
Realizar una actividad al aire libre,Variable,Recreación,92
Practicar técnicas de mindfulness,10 minutos,Bienestar Mental,93
Hacer una tarea de limpieza específica,Variable,Tareas del hogar,94
Estudiar o realizar investigación,Variable,Educación,95
Disfrutar de un momento de ocio,Variable,Entretenimiento,96
Realizar una actividad deportiva,Variable,Salud y Fitness,97
Planificar y organizar viajes,Variable,Organización,98
Practicar técnicas de meditación,10 minutos,Bienestar Mental,99
Actualizar el calendario/agenda,5 minutos,Organización,100
Realizar labores de jardinería,Variable,Jardinería,101
Practicar una actividad de aprendizaje,Variable,Educación,102
Mantenerse en contacto con familiares,Variable,Relaciones Sociales,103
Explorar nuevas actividades o hobbies,Variable,Autodesarrollo,104
Prepararse para dormir,15 minutos,Higiene Personal,105
Leer un libro antes de dormir,Variable,Entretenimiento,106
Realizar una rutina de cuidado facial,15 minutos,Belleza y Cuidado Personal,107
Realizar ejercicios de relajación,10 minutos,Bienestar Mental,108
Escuchar música relajante,Variable,Entretenimiento,109
Reflexionar sobre el día,10 minutos,Bienestar Mental,110
Planificar tareas para el día siguiente,10 minutos,Organización,111
Meditar antes de dormir,10 minutos,Bienestar Mental,112
Realizar estiramientos suaves,10 minutos,Salud y Bienestar,113
Practicar técnicas de respiración,10 minutos,Salud y Bienestar,114
Organizar y preparar la ropa para mañana,10 minutos,Organización,115
Repasar y estudiar material de aprendizaje,Variable,Educación,116
Realizar una llamada o videollamada,Variable,Comunicación,117
Anotar pensamientos o ideas en un diario,10 minutos,Autodesarrollo,118
Realizar una actividad de relajación,Variable,Bienestar Mental,119
Desconectar de dispositivos electrónicos,Variable,Descanso,120
Disfrutar de un momento de silencio,Variable,Paz y Tranquilidad,121
Preparar el entorno para dormir,10 minutos,Bienestar Mental,122
Realizar una breve sesión de yoga,15 minutos,Salud y Bienestar,123
Leer artículos o blogs en línea,Variable,Entretenimiento,124
Aplicar una mascarilla facial o capilar,Variable,Belleza y Cuidado Personal,125
Escuchar un podcast antes de dormir,Variable,Entretenimiento,126
Realizar una actividad creativa,Variable,Arte y Creatividad,127
Repasar y ajustar metas y objetivos,10 minutos,Autodesarrollo,128
Preparar la ropa y accesorios para el día siguiente,10 minutos,Organización,129
